ID,Question,Date,Class
1264,Targeted group game for 8 or 9 players,19/06/2018,maths
1265,How to get past the  mystique  of Maths,21/06/2018,maths
1266,How was this maths educational video made?,24/06/2018,maths
1267,Easy tool to draw stencils,25/06/2018,maths
1268,Quizzes (with questions known in advance) instead of homework in a graduate mathematics class. Good Idea or Bad Idea? Pros and Cons?,27/06/2018,maths
1269,Why bother completing the square to find the minimum/maximum of a quadratic function?,27/06/2018,maths
1270,"One course/subject, one class, two lecturers",28/06/2018,maths
1271,Simple Number Theory Task,28/06/2018,maths
1272,Supplemental text for undergraduate real analysis,28/06/2018,maths
1273,"Simple, elegant ways to teach the idea of what functions are for the first time",30/06/2018,maths
1274,Urn (containing colored balls) generator?,02/07/2018,maths
1275,Teaching logic through  high school algebra ?,04/07/2018,maths
1276,Small 'new things' to confront talented high-schoolers with,05/07/2018,maths
1277,"Why do not all professors let students use notes, books, etc. on exams?",06/07/2018,maths
1278,Should I describe the function as  linear  in a freshman calculus class?,09/07/2018,maths
1279,Good real-life examples of transformations of function graphs,13/07/2018,maths
1280,Learning math historically,16/07/2018,maths
1281,Polar form before Cartesian form when introducing complex numbers,17/07/2018,maths
1282,How to present the order of factors and summands for the usual multiplication procedure,18/07/2018,maths
1283,What is the best term for  probability measure  in an undergrad introduction to probability course?,19/07/2018,maths
1284,Should homework be graded in an undergraduate math course?,19/07/2018,maths
1285,Encouraging students to learn probability,20/07/2018,maths
1286,Online quiz with slightly different questions for each student,25/07/2018,maths
1287,What is an intercept?,25/07/2018,maths
1288,Is There Such Thing as Learning Disability in Math?,26/07/2018,maths
1289,Should students be given partial scores when they gave an incomplete proof by contradiction?,31/07/2018,maths
1290,What are standard (or good) textbooks for undergraduate graph theory?,01/08/2018,maths
1291,Why emphasize moment generating function over characteristic function in a probability course?,02/08/2018,maths
1292,Evaluation and feedback using Optical Mark Recognition systems in secondary school,06/08/2018,maths
1293,"Books similar to  Teaching Developmentally , but for high school math",07/08/2018,maths
1294,Downloadable MCQs on Mathematics,08/08/2018,maths
1295,CoTeaching Elementary Linear Algebra,13/08/2018,maths
1296,Has Benezet's teaching experiment ever been reproduced?,14/08/2018,maths
1297,What is the best way to assign letter grades in a math class?,16/08/2018,maths
1298,How To Help a Quiet Class,16/08/2018,maths
1299,What is the preferred method of teaching  linear  differential equations today?,22/08/2018,maths
1300,How can I make  complex  graphs that combine multiple functions with a software?,23/08/2018,maths
1301,Recommend a website for creating geometric figures,23/08/2018,maths
1302,Using an iPad to write on pdf slides,23/08/2018,maths
1303,Should I go over examples straight from the textbook in Calculus lectures?,25/08/2018,maths
1304,What are teachers' expectations on private tutoring in secondary education?,26/08/2018,maths
1305,How to create educational linear algebra animations?,27/08/2018,maths
1306,Pythagorean triples real examples,28/08/2018,maths
1307,Would it be constructive to teach a whole course on how to evaluate certain hard integrals?,29/08/2018,maths
1308,Good (natural) motivational examples for quadratic equations,30/08/2018,maths
1309,Automatically creating homework worksheets from textbook problems,31/08/2018,maths
1310,Motivation for polynomial long division,01/09/2018,maths
1311,Undergraduate Math Seminar topic,02/09/2018,maths
1312,Teaching math long distance,04/09/2018,maths
1313,Harnessing misuse of equals sign,06/09/2018,maths
1314,Geometry sample tests,11/09/2018,maths
1315,'Low-algebra' examples of induction,13/09/2018,maths
1316,a theorem to simplify continuity in Stewart's calculus: early transcendentals,13/09/2018,maths
1317,What is it called when terms disappear when reducing fractions?,14/09/2018,maths
1318,Automated drilling sites with some specific problems,14/09/2018,maths
1319,Examples (for beginners) of real functions which are not given by elementary formulae,15/09/2018,maths
1320,How to correct visualization of mathematical expressions?,16/09/2018,maths
1321,When to use row or column vectors in points and translations,19/09/2018,maths
1322,Intro to Proof: if divides then,19/09/2018,maths
1323,Math Everywhere Activities,19/09/2018,maths
1324,"Teaching math by serving it as games with rules first, not intuition?",22/09/2018,maths
1325,"Succinct description of situations where naively obvious is correct, but for far more complicated reasons?",25/09/2018,maths
1326,Verifying Simple Expression Equivalence in a Spreadsheet,26/09/2018,maths
1327,Intuition for the mean for elementary school kids,29/09/2018,maths
1328,Beyond cubic polynomials: Applications?,29/09/2018,maths
1329,Hardware for real time streaming of writings and drawings,01/10/2018,maths
1330,How to organize a  cheatsheet-making session  with students,01/10/2018,maths
1331,Why do we state the antiderivative of as,03/10/2018,maths
1332,What to include in an  elevator pitch  for an undergraduate statistics class,04/10/2018,maths
1333,Students understand during course but can't solve exam,04/10/2018,maths
1334,why did common core remove so many topics from Algebra II?,07/10/2018,maths
1335,How to explain the sample space of Monty Hall problem?,09/10/2018,maths
1336,Iconic image to explain the fundamental theorem of calculus?,11/10/2018,maths
1337,Are there standard questions for testing how an instructor grades calculus?,12/10/2018,maths
1338,What are some suggestions fo teaching statistics concepts to struggling college students?,14/10/2018,maths
1339,Flow diagrams and summarizing strategies in proof-computation courses: good or bad for learning? Unsuitable for Inquiry-based learning?,14/10/2018,maths
1340,Using discrete examples in the beginning of integration,15/10/2018,maths
1341,Don't these word problems seem designed to be confusing?,16/10/2018,maths
1342,Integrating derivatives over functions problem,17/10/2018,maths
1343,What does  Four selected students are not born in the same months  mean?,22/10/2018,maths
1344,Practical ways to check if a student has mastered a particular topic,28/10/2018,maths
1345,How to help my tutoring students study between sessions,29/10/2018,maths
1346,Formal linear combinations: motivating examples,30/10/2018,maths
1347,More intermediate steps or check well-understanding,30/10/2018,maths
1348,What are tutoring strategies for students struggling in math?,01/11/2018,maths
1349, Always/Sometimes/Never  vs.  True/False  questions for mathematical reasoning,02/11/2018,maths
1350,About the word  limit  used in calculus,02/11/2018,maths
1351,Advice on Full Time Community College Math Instructor Position,03/11/2018,maths
1352,Complex logarithm and,03/11/2018,maths
1353,Line Integral Motivation,06/11/2018,maths
1354,How to explain angle hunting to students,07/11/2018,maths
1355,How to help students understand/remember that has two solutions?,08/11/2018,maths
1356,Is there any example of a  forwards/backwards  induction?,09/11/2018,maths
1357,Open Rings-First Abstract Algebra Text,09/11/2018,maths
1358,"In what grade do kids (New York, US) learn common differences?",10/11/2018,maths
1359,Presenting ways to find a resultant force,12/11/2018,maths
1360,Making modular arithmetic interesting for school kids,12/11/2018,maths
1361,Difference between high school and college calculus courses,12/11/2018,maths
1362,Accessible written proof of the Nash Indifference Theorem (game theory)?,15/11/2018,maths
1363,Fun classroom exercise for mental rotation,16/11/2018,maths
1364,Algebra 2 textbooks that incorrectly claim that all solutions of polynomial equations can be found,18/11/2018,maths
1365,Should young math students be taught an abstract concept of form?,18/11/2018,maths
1366,Flipped introductory real analysis resources?,19/11/2018,maths
1367,Making physical 3D models,21/11/2018,maths
1368,How can I explain horizontal shifts to a 12 year old by analogizing with your money?,22/11/2018,maths
1369,For what subjects and grade levels is the take-home exam suitable?,24/11/2018,maths
1370,Better ways to explain mutually exclusiveness and dependency of events,26/11/2018,maths
1371,A proof based Multivariable Calculus and Linear Algebra,29/11/2018,maths
1372,Formats for Calculus instruction at different colleges and universities,30/11/2018,maths
1373,Teaching methods to make a weak student good at math? (particularly student from social science background),30/11/2018,maths
1374,Mainstreaming math student,03/12/2018,maths
1375,How to make a student not overlook easy mistakes such as the wrong sign,03/12/2018,maths
1376,Multiple students writing why?,03/12/2018,maths
1377,How to deal with  Why can't I just do ......  in real analysis?,06/12/2018,maths
1378,Structure of math textbooks,07/12/2018,maths
1379,Word for the dimension of the vector space in which a vector lives?,09/12/2018,maths
1380,How to introduce group theory to a general audience in 15 minutes?,10/12/2018,maths
1381,"Is it a bad idea to use an old textbook such as Differential and integral calculus, with examples and applications for calculus course?",10/12/2018,maths
1382,Topics in Mathematics for a 15 minute demonstration,11/12/2018,maths
1383,The royal road to calculus,11/12/2018,maths
1384,"Why we don't normally teach chord, versine, coversine, haversine, exsecant, excosecant any more?",11/12/2018,maths
1385,Duodecimal by Stealth,12/12/2018,maths
1386,"In teaching mathematics, should one always follow some international standards such as ISO 80000-2?",15/12/2018,maths
1387,In which course should we teach solving general cubic and quartic equations?,16/12/2018,maths
1388,What is a realistic situation that illustrates precisely what a p-value is?,17/12/2018,maths
1389,A good example to show group actions and Burnside's lemma,17/12/2018,maths
1390, Indicated Arithmetic  or  Delayed Evaluation ,17/12/2018,maths
1391,A system for students to fill in gaps throughout a math degree,19/12/2018,maths
1392,A Markov chain demonstration that doesn't require computers,20/12/2018,maths
1393,Why are we even studying cyclotomic polynomials?,21/12/2018,maths
1394,is it appropriate or beneficial to mention weird results in math?,22/12/2018,maths
1395,Quadratic modeling project with upward-facing parabola example,23/12/2018,maths
1396,"Is there a place to buy physical models to demonstrate the Calculus shell, disk, and washer methods?",23/12/2018,maths
1397,Recommended list of things calculus students should be required to memorise?,26/12/2018,maths
1398,Measure of Improvement in Math Skills from Remediation with ALEKS,26/12/2018,maths
1399,How can I help a student who is constantly struggling in an honors Algebra II (high school) class,27/12/2018,maths
1400,Desmos Assignment: Make a graph that does this,28/12/2018,maths
1401,How to deal with students who object to me teaching material that won't be in the exam?,29/12/2018,maths
1402,How can I measure the mathematical computation skills of high school students through a test?,30/12/2018,maths
1403,"Long-form, multi-step, skills-integrating applied mathematics problems in calculus I, II, III",30/12/2018,maths
1404,Are there any negative consequences in applying operations/functions to a whole equality?,31/12/2018,maths
1405,Could students learn a lot more from school if they're only taught number theory until way later?,03/01/2019,maths
1406,Should theorems be proved to students who are not majoring in mathematics?,03/01/2019,maths
1407,Tactile Learning Activities in Mathematics,04/01/2019,maths
1408,Motivate your answer vs. Prove your answer,08/01/2019,maths
1409,Easy examples of visualizing passive transformations in the plane?,11/01/2019,maths
1410,What effect does giving numerical or written grades have on learning?,14/01/2019,maths
1411,Vector calculus texts that are free-as-in-speech?,18/01/2019,maths
1412,Practical Implication for Correlation (Lay individual vs Scholarly Group),23/01/2019,maths
1413,Favorite datasets to use when teaching statistics,24/01/2019,maths
1414,How to explain linear approximation to an equation to calculus students?,24/01/2019,maths
1415,How to prepare for lecturing in a non-fluent foreign language?,24/01/2019,maths
1416,How to balance the difficulty level and speed of lectures for students of very different levels?,24/01/2019,maths
1417,Published papers for Intro Stat students to read,25/01/2019,maths
1418,Which examples should we mention when teaching the concept of derivatives?,28/01/2019,maths
1419,What is a good format of tutorial sessions?,29/01/2019,maths
1420,Is it a problem if a senior student majoring in mathematics could not prove the quadratic formula?,30/01/2019,maths
1421,What is the standard for  simplifying your answer ?,31/01/2019,maths
1422,Book recommendations on mathematics education focusing on geometry,04/02/2019,maths
1423,Analogy for nested loops/integrals,05/02/2019,maths
1424,"Is there a point at which it makes decidedly more sense to learn about a  linear approximation  to a function, rather than a  tangent ?",05/02/2019,maths
1425,Calculus workbook suggestions,07/02/2019,maths
1426,How to deal with a  protest  assignment?,08/02/2019,maths
1427,Would teaching nonstandard calculus in an introduction calculus course make it easier to learn?,09/02/2019,maths
1428,Activities for calc based physics,11/02/2019,maths
1429,"How does knowing more about mathematics help one's teaching of lower level course, such as calculus?",14/02/2019,maths
1430,Studies about group tutoring sessions,15/02/2019,maths
1431,Good textbooks for a college Basic Geometry course?,15/02/2019,maths
1432,Difficulty in teaching the coordinates of a vector with respect to a basis,17/02/2019,maths
1433,Geometry textbook with an abstract algebra emphasis,18/02/2019,maths
1434,"In a typical 3rd-semester multivariate calculus course in the US, what kind of area integrals do students actually learn to do?",18/02/2019,maths
1435,Alternating group without example,19/02/2019,maths
1436,How to write slower on a blackboard?,20/02/2019,maths
1437,Why do some students struggle so much with fractions?,21/02/2019,maths
1438,A more rigorous approach to Precalculus,25/02/2019,maths
1439,Midterm in Mathematics Courses,25/02/2019,maths
1440,Math Lessons with Two Parts and a Combination,26/02/2019,maths
1441, Amplitude  of Tan and Cot functions,26/02/2019,maths
1442,What software and technology could help this deaf and blind student do math?,02/03/2019,maths
1443,"When teaching someone how to prove a function is uniformly continuous, using epsilon/delta, which example would be among the simplest?",02/03/2019,maths
1444,Are questions on overlapping solids of revolutions without prior definitions and instructions fair given that there are divided interpretations?,03/03/2019,maths
1445,Learning proofs in introductory analysis courses,06/03/2019,maths
1446,"Vocabulary for giving just numbers, not a full answer",10/03/2019,maths
1447,Analogy for multiplying modulo N,12/03/2019,maths
1448,Real World use of the Function,14/03/2019,maths
1449,What books properly address the properties of ?,16/03/2019,maths
1450,Group theory by geometry,16/03/2019,maths
1451,How to explain what's wrong with this application of the chain rule?,21/03/2019,maths
1452,Notation for change of basis matrix,22/03/2019,maths
1453,Teaching indefinite integrals that require special-casing,25/03/2019,maths
1454,"Revision Lecture, what are the aims?",26/03/2019,maths
1455,Physical devices for exploring calculus or pre-calculus,27/03/2019,maths
1456,How to verbalize the correct statement of mixed units?,27/03/2019,maths
1457,Could this visual explanation of horizontal shift be helpful ? ...( if not beautiful...),27/03/2019,maths
1458,Where to find good exercises for term operations?,28/03/2019,maths
1459,Missouri EOC and the best Geometry book,28/03/2019,maths
1460,How to explain to pupils that OF is equivalent to?,01/04/2019,maths
1461,How to motivate students to do proofs?,02/04/2019,maths
1462,When should students stop receiving tutoring for mathematics?,04/04/2019,maths
1463,Geogebra for Blind People,07/04/2019,maths
1464,Could students be taught the concept of rational numbers the same way as in the Formal construction section of the Wikipedia article rational number?,09/04/2019,maths
1465,How to make students comfortable with the use of axiom of choice in analysis,10/04/2019,maths
1466,Lower-division complex analysis textbook,15/04/2019,maths
1467,Best practices in teaching math to future elementary teachers,15/04/2019,maths
1468,Complex numbers and encourage justification,17/04/2019,maths
1469,Why is it difficult to freely change between points and vectors?,17/04/2019,maths
1470,Unconstrained/Constrained optimization real life example,20/04/2019,maths
1471,What should I say about elementary number theory?,25/04/2019,maths
1472,"What are some tips for framing a graph in the most readable, relevant, and aesthetic way, for secondary education mathematics?",26/04/2019,maths
1473,What is the notation for polynomial long division in Norway?,30/04/2019,maths
1474,Curriculum for Advanced 6th Graders,30/04/2019,maths
1475,Why in the FOIL Method the terms are taken with their signs?,01/05/2019,maths
1476,How to overcome the frustration in teaching and doing research at the same time,01/05/2019,maths
1477,Explicit Cross Method,01/05/2019,maths
1478,Is a clear distinction made between signs and operators?,02/05/2019,maths
1479,Use of Lockhart's *Measurement* in a course?,02/05/2019,maths
1480,What are some common ways students get confused about finding an inverse of a function?,03/05/2019,maths
1481,How to formulate this type of arcsin problem?,03/05/2019,maths
1482,Pros and cons of randomised question generation,04/05/2019,maths
1483,Introducing derivative concept and definition,05/05/2019,maths
1484,"Naming arbitrary constants: subscripts, primes, or just more letters?",05/05/2019,maths
1485,What is an interesting high-school level topic to discuss using Mathematica or Geogebra?,09/05/2019,maths
1486,The art of designing of problem sets,10/05/2019,maths
1487,Solutions to exercises,10/05/2019,maths
1488,Are there textbooks that cover most etymological aspects of mathematics?,12/05/2019,maths
1489,What books are good for drawing an intersecting plane?,16/05/2019,maths
1490,Real-life exceptions to PEMDAS?,16/05/2019,maths
1491,How to justify that students should come to class?,19/05/2019,maths
1492,Is there a simple example that empirical evidence is misleading?,20/05/2019,maths
1493,Category mistakes regarding symbols and their impact on math (mis) understanding. ( Object symbol/ sentence symbol confusion),21/05/2019,maths
1494,How to come up with a Leslie matrix with convenient eigenvalues?,27/05/2019,maths
1495,Mobile phone apps that would allow for students to anonymously  buzz  me in real time?,28/05/2019,maths
1496,"How can I explain why numerical integration is easy, but symbolic integration is hard?",28/05/2019,maths
1497,Resources for teaching calc III,29/05/2019,maths
1498,Scientific results on the usefulness of physical units in secondary education?,04/06/2019,maths
1499,"Propositional and predicate logic, with quantifiers: Is there any research when it is ideal to explicitly teach in mathematics education?",07/06/2019,maths
1500,Different Kinds of Variables,09/06/2019,maths
1501,"MacLane-Birkhoff's  Algebra  vs Jacobson's  Basic Algebra I,II  vs Lang's  Algebra ",18/06/2019,maths
1502,Ideas for the introduction of the derivative?,21/06/2019,maths
1503,How to intuitively convince the students that a strip with two full twists is homeomorphic to the standard annulus?,24/06/2019,maths
1504,Corequisite remediation for  Mathematics for Future Elementary Teachers ,25/06/2019,maths
1505,Student-friendly / efficient approach to computing Taylor coefficients of infinite binomial series expansions?,25/06/2019,maths
1506,Enlighten younger students about the concept of  procedural justice  in mathematics?,26/06/2019,maths
1507,Delivering mathematics lectures via tablet and projector,27/06/2019,maths
1508,Gauging correspondence between classtime and material rate,02/07/2019,maths
1509,Inefficient methods,04/07/2019,maths
1510,"Rhombuses, kites etc",11/07/2019,maths
1511,Entry Test for Statistical/Data Science class,15/07/2019,maths
1512,Motivation vs. Rigor,20/07/2019,maths
1513,Should a math teacher know some computer algebra system  by heart ?,25/07/2019,maths
1514,How to make a mathematical dynamic graph?,29/07/2019,maths
1515,How to help new students accept function notation,06/08/2019,maths
1516,Is it a bad idea to offer variants of a final exam based on the type of allowed calculators?,07/08/2019,maths
1517,Software for validating answers from students,13/08/2019,maths
1518,What is the most difficult concept to grasp in Calculus 1?,14/08/2019,maths
1519,Adding things to bunches of things vs multiplication,15/08/2019,maths
1520,Why is absolute value difficult?,16/08/2019,maths
1521,Should school syllabus include chapters partially?,17/08/2019,maths
1522,Will there ever be a revision of Common Core?,21/08/2019,maths
1523,The most transparent exposition of Bayes' Theorem,24/08/2019,maths
1524,Graph theory teaching materials for young students,30/08/2019,maths
1525,An alternative to  two column  geometry proofs,01/09/2019,maths
1526,Is there research on the efficacy of taking good notes in math class?,01/09/2019,maths
1527,Is there a pre-calculus introduction to the formal definition of a limit?,02/09/2019,maths
1528,"Studies on more simple problems, or fewer difficult problems?",02/09/2019,maths
1529,"Easy examples of correspondence between global and local, as preparation for Gauss's theorem and Stokes's theorem",02/09/2019,maths
1530,How should students say in words the notation for a limit?,03/09/2019,maths
1531,Why do you need to distinguish between apparently identical objects in probability?,06/09/2019,maths
1532,How to choose random student to answer questions?,08/09/2019,maths
1533,A different symbol for the indefinite integral/antiderivative?,09/09/2019,maths
1534,How to show,09/09/2019,maths
1535,"The word  numeral , is it being taught and does the word exist for it in your language?",12/09/2019,maths
1536,Can anyone recommend good software for verifying row reduction steps?,12/09/2019,maths
1537,Asking students to define  unique ,12/09/2019,maths
1538,How to give my students a straightedge instead of a ruler,13/09/2019,maths
1539,Applied ODEs for Numerical Methods,16/09/2019,maths
1540,Calculus book for basic calculus and repetition from videregaende (Norwegian high school),17/09/2019,maths
1541,Instilling a Growth Mindset in a Student Diagnosed With Dyscalculia,19/09/2019,maths
1542,Is Plane Trigonometry by S. L. Loney still good as a textbook today?,23/09/2019,maths
1543,How important is knowledge of trig identities for use in Calculus,24/09/2019,maths
1544,Quote to show students don't have to fear making mistakes,25/09/2019,maths
1545,How to explain that the sums of numerators over sums of denominators isn't the same as the mean of ratios?,27/09/2019,maths
1546,(Riemann integrability) How do you explain this to a high school student?,28/09/2019,maths
1547,Are there mathematical proof info-graphics?,30/09/2019,maths
1548,(use of de L'Hospital's rule) How would you explain this limit to high school students?,01/10/2019,maths
1549,How to explain even higher moments,02/10/2019,maths
1550,How to teach sketching a parametric curve?,02/10/2019,maths
1551,Examples for environmental topics in the context of terms or linear inequalities,02/10/2019,maths
1552,What is the name of the form of the line equation,06/10/2019,maths
1553,Examples of informal explanations that cause misconceptions,06/10/2019,maths
1554, Table  method for expanding brackets vs  each term in the first bracket gets multiplied by each term in the second bracket ,06/10/2019,maths
1555,How can I learn to write better questions to test for conceptual understanding?,07/10/2019,maths
1556,Prisoner's dilemma formulation for children example,09/10/2019,maths
1557,The propagation of the wave equation in even versus odd dimension,12/10/2019,maths
1558,Symmetry in polar functions - how to explain,14/10/2019,maths
1559,Take-Home Examination on Ordinary Differential Equations?,16/10/2019,maths
1560,How do you attract more math majors at a liberal arts college math department?,18/10/2019,maths
1561,In preparation for exams: question bank or questions with omitted particulars?,18/10/2019,maths
1562,Exercise database,22/10/2019,maths
1563,"Explaining why (or whether) zero and one are prime, composite or neither to younger children",27/10/2019,maths
1564,"Which textbooks on College Algebra, Trigonometry, Pre-calculus, Calculus, Linear Algebra, ODE are written by world-class mathematicians?",29/10/2019,maths
1565,Are there any textbooks on multivariable calculus that introduce all non-trivial definitions and all non-trivial proofs with a  first draft ?,29/10/2019,maths
1566,Road map to teach undergrads a first course in real analysis that concludes with convergence of fourier series,29/10/2019,maths
1567,Teaching a student who refuses to learn,30/10/2019,maths
1568,The hardest case of integration by partial fractions,01/11/2019,maths
1569,The trick didn't like me (teaching Fourier transform),03/11/2019,maths
1570,"Are degrees of polynomials illogically defined in elementary algebra, intermediate algebra and college algebra courses?",05/11/2019,maths
1571,Should Euler's formula be seen as a definition rather than something to prove?,05/11/2019,maths
1572,Favorite secondary math manipulatives?,12/11/2019,maths
1573,Co-curricular lessons between geometry and chemistry?,14/11/2019,maths
1574,Beautiful planar geometry theorems not encountered in high school,15/11/2019,maths
1575,Introductory exercise for the addition of large natural numbers,17/11/2019,maths
1576,Examples of Quadratic equations using complex math but with no imaginary roots,19/11/2019,maths
1577,Good Source for German Tank Problem,20/11/2019,maths
1578,Algorithmic thinking problems,21/11/2019,maths
1579,What mathematics activities get students physically moving?,23/11/2019,maths
1580,Suggested idea: Course exams written by someone else other than the instructors/coordinators. Good or Bad?,24/11/2019,maths
1581,3D vectors with 3D glasses software,24/11/2019,maths
1582,An intuitive explanation of l Hopital's rule for,25/11/2019,maths
1583,"How should one approach the concept of  plus or minus , such as in the numerator of the quadratic formula?",26/11/2019,maths
1584,Cinderella vs. GeoGebra,28/11/2019,maths
1585,How to emulate erf and/or the Normal Inverse function in Moodle?,28/11/2019,maths
1586,Should high school teachers say  real numbers  before teaching complex numbers?,29/11/2019,maths
1587,Developing abductive (problem-solving) skills,30/11/2019,maths
1588,How to (or should one) distinguish between lowercase and uppercase letters orally when lecturing?,30/11/2019,maths
1589,How do I convince my teachers that a book on maths must focus on conceptual understanding?,03/12/2019,maths
1590,How to teach linear programming and reductions?,07/12/2019,maths
1591,Using video games as an introductory tool for game theory? Can video games illustrate game theoretic concepts?,09/12/2019,maths
1592,Is this primarily a  rote computational trick  for multiplication by 9?,13/12/2019,maths
1593,Should we stop differentiating between ln and log?,16/12/2019,maths
1594,Cardinal vs. ordinal: When learned? When needed?,18/12/2019,maths
1595,Are there standard notations for 'number talks  math talks?',22/12/2019,maths
1596,Equality as  makes  vs equality as  equals ,23/12/2019,maths
1597,How should I introduce the Chain Rule,24/12/2019,maths
1598,Should we teach simple content quickly or slowly?,26/12/2019,maths
1599,What is the quantitative data on effectiveness of  modern  teaching methods?,27/12/2019,maths
1600,Does anyone teach logarithms via slide rules?,02/01/2020,maths
1601,"Fun, impressive, or compelling examples of scaling of the standard deviation like",04/01/2020,maths
1602,"Is short division taught these days and if not, why not?",06/01/2020,maths
1603,Notation in the definition of matrix multiplication,07/01/2020,maths
1604,How to read chained equalities out loud?,09/01/2020,maths
1605,Is there a numerical base that is in any way  better  for simple mathematical calculations than others?,09/01/2020,maths
1606,How to teach integrals motivated by the work done in moving an object?,14/01/2020,maths
1607,Are there any proofs of Euler's Formula that do not rely on calculus?,15/01/2020,maths
1608,Acceptability of creative questions in assessments,15/01/2020,maths
1609,How is interpreted?,16/01/2020,maths
1610,Teaching Calculus I to engineers,17/01/2020,maths
1611,Combinatorial problems which can be solved with polynomials,19/01/2020,maths
1612,Introducing quadric surfaces in high school,21/01/2020,maths
1613,Algebra/trig/precalculus review questions that elicit common student errors,22/01/2020,maths
1614,Patterns that unexpectedly fall apart at large,31/01/2020,maths
1615,Why are a.e. defined functions rarely mentioned in elementary books?,04/02/2020,maths
1616,Terminology for parts of limit notation,05/02/2020,maths
1617,Allowing nonstandard mathematical language and/or notation,07/02/2020,maths
1618,Fear of 3-dimensions,09/02/2020,maths
1619,Tips and References for a 15 days Course on Math,09/02/2020,maths
1620,Adult Learners Returning to College Level Math,12/02/2020,maths
1621,How to intuitively understand how the trig ratios are calculated,14/02/2020,maths
1622,How do I show students the Beauty of Mathematics?,14/02/2020,maths
1623,Undergraduate Vector Calculus Notation Mess,14/02/2020,maths
1624,Taxonomy of bad proofs,17/02/2020,maths
1625,How do you plausibly explain that the geometric and the coordinate expressions for the scalar product are equivalent?,17/02/2020,maths
1626,On a special degenerate conic,17/02/2020,maths
1627,Scoring students' work is counter-productive,18/02/2020,maths
1628,Has the equation substitutable solution in ?,18/02/2020,maths
1629,Making epsilon-delta proofs not just precalculus,18/02/2020,maths
1630,Confusing verbal descriptions of function transformations,23/02/2020,maths
1631,Teaching Quantifiers Before Logical Connectives,23/02/2020,maths
1632,Can we avoid confusion over using  let  as a quantifier?,24/02/2020,maths
1633,How should I convince a student who thinks they proved 1 is 1,24/02/2020,maths
1634,Students writing when they probably mean,24/02/2020,maths
1635,What are strategies for teaching that the altitude of a right triangle creates two similar triangles?,25/02/2020,maths
1636,How to explain the  less than yearly compounded interest  concept?,26/02/2020,maths
1637,Should we stop teaching  interchange and  when finding the inverse function?,28/02/2020,maths
1638,What would you recommend for the math thinking course for school?,02/03/2020,maths
1639,"A fun, one-day topic for a vector analysis course",05/03/2020,maths
1640,Proof that convergent Taylor Series converge to actual value of function,09/03/2020,maths
1641,Online Whiteboard Application with Simple Latex Support,10/03/2020,maths
1642,How shall we teach math online due to pandemic,12/03/2020,maths
1643,Best resources for probability/statistics textbooks,14/03/2020,maths
1644,Tablet whiteboard app w e-pencil,15/03/2020,maths
1645,Most popular setups for recording video lectures for pandemic,17/03/2020,maths
1646,How to evaluate students in a  do all you can  exercise?,17/03/2020,maths
1647,Should we stop using traditional compass in schools & start/encourage adopting compasses like  Slide N Measure  or  Safe-T  compasses instead?,17/03/2020,maths
1648,Is evaluating a Real Polynomial at a Complex Value a suitable task for Precalculus students?,18/03/2020,maths
1649,Topics for undergraduate seminar for mathematics educators,18/03/2020,maths
1650,How to conduct online testing for Calculus due to pandemic,18/03/2020,maths
1651,Math circles while under quarantine pandemic,20/03/2020,maths
1652,help thinking of conceptual or open-ended Intro Algebra and Intermediate Algebra test questions pandemic,24/03/2020,maths
1653,The Future of Worksheets - will they still be used or abandoned?,29/03/2020,maths
1654,The spatial thinking course for primary school - what to use?,30/03/2020,maths
1655,Online testing platform,31/03/2020,maths
1656,What is the best way to intuitively explain the relationship between the derivative and the integral?,02/04/2020,maths
1657,Ideas for explaining 4D and higher dimensions,05/04/2020,maths
1658,How to define  axes with the same scale  in Secondary/High School?,06/04/2020,maths
1659,Are there any online question bank of mathematics questions?,08/04/2020,maths
1660,Mathematics minor requirements,13/04/2020,maths
1661,Resources for improving computational skills at the high school/university transition,14/04/2020,maths
1662,When assigning a late penalty for assignments is that penalty subtracted from the total or does it reduce the score by that percentage,14/04/2020,maths
1663,Multiple extra credit questions in a homework set,15/04/2020,maths
1664,Different ways to multiply decimals,17/04/2020,maths
1665,Do you have an efficient way to view student responses to remote assignments allowing them to type math symbols and steps? (Middle + High school) pandemic,22/04/2020,maths
1666,Has a List of Fundamental Mathematical Skills been compiled?,22/04/2020,maths
1667,Do you teach different proofs or calculations of same question?,23/04/2020,maths
1668,Ideas and/or references for projects for a business calculus course,27/04/2020,maths
1669,Geometrical interpretation of the identity ,28/04/2020,maths
1670,"For an online assignment application, should different versions of the same assignment be allowed to have different numbers of questions?",28/04/2020,maths
1671,(How) Do American undergraduate math programs teach complex numbers?,29/04/2020,maths
1672,Fun set theory for kids,04/05/2020,maths
1673,Introductory Analysis lecture slides,04/05/2020,maths
1674,Does the  Find  in questions such as  Find the solution  imply the process of finding must be laid out?,06/05/2020,maths
1675,Examples for  good  exponential growth versus linear growth,06/05/2020,maths
1676,Interesting things you learned while grading?,07/05/2020,maths
1677,Is there research to back up the claim that math classes help develop analytical skills?,07/05/2020,maths
1678,Content for a 40-minute lecture on graph theory for high schoolers,07/05/2020,maths
1679,Proof by contradiction - more than one case,08/05/2020,maths
1680,How rigorous should high school calculus be?,09/05/2020,maths
1681,How do I track down the sources of solutions which students have used to cheat on exams?,13/05/2020,maths
